country,year,score,property_right,government_integrity,judicial_effectiveness,tax_burden,government_spending,fiscal_health,business_freedom,labor_freedom,monetary_freedom,trade_freedom,investment_freedom,financial_freedom,africa,asia,europe,north_america,oceania,south_america
Dominican Republic,2001,59.1,30.0,30.0,,85.3,93.3,,55.0,,79.2,59.4,50.0,50.0,0,0,0,1,0,0
Ecuador,2001,55.1,30.0,24.0,,90.8,85.5,,55.0,,51.9,59.0,70.0,30.0,0,0,0,0,0,1
El Salvador,2001,73.0,50.0,39.0,,83.7,94.1,,85.0,,87.6,77.2,70.0,70.0,0,0,0,1,0,0
Guatemala,2001,65.1,50.0,32.0,,86.7,94.9,,55.0,,74.8,72.6,50.0,70.0,0,0,0,1,0,0
Guyana,2001,53.3,50.0,30.0,,60.3,54.4,,55.0,,79.0,51.0,50.0,50.0,0,0,0,0,0,1
Haiti,2001,47.1,10.0,10.0,,78.3,95.7,,40.0,,64.7,65.0,30.0,30.0,0,0,0,1,0,0
Honduras,2001,57.0,30.0,18.0,,81.9,86.8,,55.0,,67.2,73.8,50.0,50.0,0,0,0,1,0,0
Jamaica,2001,63.7,50.0,38.0,,76.7,84.1,,70.0,,78.3,76.4,70.0,30.0,0,0,0,1,0,0
Mexico,2001,60.6,50.0,34.0,,69.0,85.5,,55.0,,69.1,83.0,50.0,50.0,0,0,0,1,0,0
Nicaragua,2001,58.0,30.0,31.0,,80.8,71.2,,55.0,,68.6,65.6,70.0,50.0,0,0,0,1,0,0
Panama,2001,70.6,50.0,50.0,,81.0,74.8,,70.0,,88.3,61.0,70.0,90.0,0,0,0,1,0,0
Paraguay,2001,60.3,30.0,20.0,,89.7,90.3,,55.0,,72.1,65.8,70.0,50.0,0,0,0,0,0,1
Peru,2001,69.6,50.0,46.0,,80.1,92.3,,70.0,,81.0,66.6,70.0,70.0,0,0,0,0,0,1
Suriname,2001,44.3,50.0,10.0,,63.8,78.1,,55.0,,36.7,25.0,50.0,30.0,0,0,0,0,0,1
Bahamas,2001,74.8,90.0,70.0,,97.3,89.2,,100.0,,87.3,19.4,50.0,70.0,0,0,0,1,0,0
Trinidad and Tobago,2001,71.8,70.0,50.0,,70.9,76.5,,70.0,,82.4,66.8,90.0,70.0,0,0,0,1,0,0
United States,2001,79.1,90.0,75.0,,63.5,71.2,,85.0,,85.9,81.0,70.0,90.0,0,0,0,1,0,0
Uruguay,2001,70.7,70.0,44.0,,86.5,71.2,,70.0,,76.9,77.8,70.0,70.0,0,0,0,0,0,1
Venezuela,2001,54.6,30.0,26.0,,75.5,88.0,,55.0,,55.9,61.4,50.0,50.0,0,0,0,0,0,1
Argentina,2000,70.0,70.0,30.0,,74.0,79.7,,85.0,,89.6,62.0,70.0,70.0,0,0,0,0,0,1
Barbados,2000,69.5,70.0,70.0,,58.6,67.3,,70.0,,88.0,62.0,70.0,70.0,0,0,0,1,0,0
Belize,2000,63.3,50.0,50.0,,58.9,74.8,,70.0,,92.0,53.8,70.0,50.0,0,0,0,1,0,0
Bolivia,2000,65.0,50.0,28.0,,89.0,65.3,,55.0,,82.8,75.2,70.0,70.0,0,0,0,0,0,1
Brazil,2000,61.1,50.0,40.0,,87.2,71.2,,70.0,,80.5,51.0,50.0,50.0,0,0,0,0,0,1
Canada,2000,70.5,90.0,92.0,,40.0,41.9,,85.0,,88.1,77.4,50.0,70.0,0,0,0,1,0,0
Chile,2000,74.7,90.0,68.0,,73.2,85.5,,85.0,,80.1,70.4,70.0,50.0,0,0,0,0,0,1
Colombia,2000,63.3,50.0,22.0,,72.4,84.1,,70.0,,67.6,63.8,70.0,70.0,0,0,0,0,0,1
Costa Rica,2000,68.4,50.0,56.0,,83.2,88.0,,70.0,,72.5,75.6,70.0,50.0,0,0,0,1,0,0
Cuba,2000,31.3,10.0,10.0,,47.6,0.0,,40.0,,73.2,60.6,30.0,10.0,0,0,0,1,0,0
Dominican Republic,2000,59.0,30.0,30.0,,85.3,93.3,,55.0,,79.9,57.8,50.0,50.0,0,0,0,1,0,0
Ecuador,2000,59.8,50.0,23.0,,86.6,78.1,,55.0,,58.3,67.0,70.0,50.0,0,0,0,0,0,1
El Salvador,2000,76.3,70.0,36.0,,83.7,94.1,,85.0,,82.9,75.0,90.0,70.0,0,0,0,1,0,0
Guatemala,2000,64.3,50.0,31.0,,82.7,96.4,,55.0,,72.2,71.8,50.0,70.0,0,0,0,1,0,0
Guyana,2000,52.4,50.0,30.0,,59.9,44.5,,55.0,,81.4,51.0,50.0,50.0,0,0,0,0,0,1
Haiti,2000,45.7,10.0,10.0,,78.3,90.3,,40.0,,61.4,61.8,30.0,30.0,0,0,0,1,0,0
Honduras,2000,57.6,50.0,17.0,,82.3,86.8,,55.0,,64.5,63.0,50.0,50.0,0,0,0,1,0,0
Jamaica,2000,65.5,70.0,38.0,,77.4,73.0,,70.0,,74.5,67.0,70.0,50.0,0,0,0,1,0,0
Mexico,2000,59.3,50.0,33.0,,73.1,92.3,,55.0,,67.6,63.0,70.0,30.0,0,0,0,1,0,0
Nicaragua,2000,56.9,30.0,30.0,,76.1,76.5,,55.0,,68.1,56.0,70.0,50.0,0,0,0,1,0,0
Panama,2000,71.6,50.0,50.0,,77.7,78.1,,70.0,,89.2,69.0,70.0,90.0,0,0,0,1,0,0
Paraguay,2000,64.0,30.0,15.0,,89.6,89.2,,55.0,,69.7,67.6,90.0,70.0,0,0,0,0,0,1
Peru,2000,68.7,50.0,45.0,,80.0,88.0,,70.0,,77.2,67.8,70.0,70.0,0,0,0,0,0,1
Suriname,2000,45.8,50.0,10.0,,69.6,56.7,,55.0,,66.0,25.0,50.0,30.0,0,0,0,0,0,1
Bahamas,2000,73.9,90.0,70.0,,97.2,85.5,,100.0,,87.0,15.0,50.0,70.0,0,0,0,1,0,0
Trinidad and Tobago,2000,74.5,90.0,50.0,,71.2,81.3,,70.0,,81.0,66.8,90.0,70.0,0,0,0,1,0,0
United States,2000,76.4,90.0,75.0,,63.8,69.3,,85.0,,86.3,78.4,70.0,70.0,0,0,0,1,0,0
Uruguay,2000,69.3,70.0,43.0,,88.2,69.3,,70.0,,70.8,72.6,70.0,70.0,0,0,0,0,0,1
Venezuela,2000,57.4,50.0,23.0,,74.0,86.8,,70.0,,47.5,65.6,50.0,50.0,0,0,0,0,0,1
Argentina,1999,70.6,70.0,28.0,,77.6,83.9,,85.0,,89.8,61.2,70.0,70.0,0,0,0,0,0,1
Barbados,1999,66.7,70.0,50.0,,60.3,67.9,,70.0,,79.6,62.0,70.0,70.0,0,0,0,1,0,0
Belize,1999,60.7,50.0,50.0,,63.6,74.9,,70.0,,85.0,33.0,70.0,50.0,0,0,0,1,0,0
Bolivia,1999,65.6,50.0,21.0,,88.9,77.8,,55.0,,83.2,74.8,70.0,70.0,0,0,0,0,0,1
Brazil,1999,61.3,50.0,36.0,,88.7,79.2,,70.0,,71.0,57.4,50.0,50.0,0,0,0,0,0,1
Canada,1999,69.3,90.0,91.0,,39.2,34.9,,85.0,,86.9,77.0,50.0,70.0,0,0,0,1,0,0
Chile,1999,74.1,90.0,61.0,,73.0,87.1,,85.0,,78.7,73.0,70.0,50.0,0,0,0,0,0,1
Colombia,1999,65.3,50.0,22.0,,75.9,98.9,,70.0,,67.3,63.2,70.0,70.0,0,0,0,0,0,1
Costa Rica,1999,67.4,50.0,65.0,,83.2,85.9,,70.0,,70.4,63.0,70.0,50.0,0,0,0,1,0,0
Cuba,1999,29.7,10.0,10.0,,47.6,10.2,,40.0,,69.2,60.6,10.0,10.0,0,0,0,1,0,0
Dominican Republic,1999,58.1,30.0,30.0,,85.8,91.2,,55.0,,77.1,54.2,50.0,50.0,0,0,0,1,0,0
Ecuador,1999,62.9,50.0,32.0,,87.0,91.4,,55.0,,61.3,69.0,70.0,50.0,0,0,0,0,0,1
El Salvador,1999,75.1,70.0,50.0,,83.6,90.3,,70.0,,79.1,73.0,90.0,70.0,0,0,0,1,0,0
Guatemala,1999,66.2,50.0,50.0,,84.0,97.3,,55.0,,70.4,69.0,50.0,70.0,0,0,0,1,0,0
Guyana,1999,53.3,50.0,30.0,,58.3,54.6,,55.0,,80.5,51.0,50.0,50.0,0,0,0,0,0,1
Haiti,1999,45.9,10.0,10.0,,78.4,97.2,,40.0,,55.8,61.8,30.0,30.0,0,0,0,1,0,0
Honduras,1999,56.7,50.0,30.0,,65.3,86.9,,55.0,,60.4,63.0,50.0,50.0,0,0,0,1,0,0
Jamaica,1999,64.7,70.0,50.0,,77.3,62.2,,70.0,,65.7,67.0,70.0,50.0,0,0,0,1,0,0
Mexico,1999,58.5,50.0,27.0,,73.4,86.3,,55.0,,58.2,77.0,70.0,30.0,0,0,0,1,0,0
Nicaragua,1999,54.0,30.0,10.0,,77.7,59.4,,55.0,,70.0,64.2,70.0,50.0,0,0,0,1,0,0
Panama,1999,72.6,50.0,50.0,,80.9,86.8,,70.0,,87.9,67.6,70.0,90.0,0,0,0,1,0,0
Paraguay,1999,63.7,30.0,10.0,,89.7,90.1,,55.0,,71.8,66.4,90.0,70.0,0,0,0,0,0,1
Peru,1999,69.2,70.0,30.0,,80.2,91.3,,70.0,,75.5,66.0,70.0,70.0,0,0,0,0,0,1
Suriname,1999,40.1,50.0,10.0,,69.6,13.8,,55.0,,57.8,25.0,50.0,30.0,0,0,0,0,0,1
Bahamas,1999,74.7,90.0,70.0,,97.2,87.1,,100.0,,88.4,19.4,50.0,70.0,0,0,0,1,0,0
Trinidad and Tobago,1999,72.4,90.0,50.0,,68.1,79.1,,70.0,,82.8,51.6,90.0,70.0,0,0,0,1,0,0
United States,1999,75.5,90.0,76.0,,64.1,61.3,,85.0,,85.0,78.4,70.0,70.0,0,0,0,1,0,0
Uruguay,1999,68.5,70.0,41.0,,88.4,70.0,,70.0,,64.1,73.0,70.0,70.0,0,0,0,0,0,1
Venezuela,1999,56.1,50.0,28.0,,75.1,77.1,,70.0,,39.7,65.4,50.0,50.0,0,0,0,0,0,1
Argentina,1998,70.9,70.0,34.0,,77.7,83.3,,85.0,,87.7,60.0,70.0,70.0,0,0,0,0,0,1
Barbados,1998,67.9,70.0,50.0,,60.3,73.0,,70.0,,85.9,62.0,70.0,70.0,0,0,0,1,0,0
Belize,1998,59.1,50.0,50.0,,63.7,64.7,,70.0,,80.6,33.0,70.0,50.0,0,0,0,1,0,0
Bolivia,1998,68.8,70.0,34.0,,89.1,77.5,,55.0,,78.6,74.8,70.0,70.0,0,0,0,0,0,1
Brazil,1998,52.3,50.0,30.0,,88.6,74.4,,70.0,,0.0,57.8,50.0,50.0,0,0,0,0,0,1
Canada,1998,68.5,90.0,90.0,,38.1,29.4,,85.0,,86.9,77.0,50.0,70.0,0,0,0,1,0,0
Chile,1998,74.9,90.0,68.0,,73.0,88.1,,85.0,,77.1,73.0,70.0,50.0,0,0,0,0,0,1
Colombia,1998,65.5,50.0,27.0,,76.2,99.1,,70.0,,66.2,61.0,70.0,70.0,0,0,0,0,0,1
Costa Rica,1998,65.6,50.0,50.0,,82.4,87.0,,70.0,,67.7,63.0,70.0,50.0,0,0,0,1,0,0
Cuba,1998,28.2,10.0,10.0,,47.6,0.0,,40.0,,65.4,60.6,10.0,10.0,0,0,0,1,0,0
Dominican Republic,1998,58.1,30.0,30.0,,85.7,91.8,,55.0,,77.8,52.2,50.0,50.0,0,0,0,1,0,0
Ecuador,1998,62.8,50.0,32.0,,86.9,90.9,,55.0,,63.8,67.0,70.0,50.0,0,0,0,0,0,1
El Salvador,1998,70.2,50.0,50.0,,83.5,91.9,,70.0,,75.1,71.0,70.0,70.0,0,0,0,1,0,0
Guatemala,1998,65.8,50.0,50.0,,81.4,97.3,,55.0,,69.6,69.0,50.0,70.0,0,0,0,1,0,0
Guyana,1998,52.7,50.0,30.0,,58.9,53.7,,55.0,,76.2,51.0,50.0,50.0,0,0,0,0,0,1
Haiti,1998,45.7,10.0,10.0,,78.5,96.6,,40.0,,54.0,61.8,30.0,30.0,0,0,0,1,0,0
Honduras,1998,56.2,50.0,30.0,,64.8,85.1,,55.0,,58.3,63.0,50.0,50.0,0,0,0,1,0,0
Jamaica,1998,67.1,70.0,50.0,,75.6,73.5,,70.0,,58.0,67.0,70.0,70.0,0,0,0,1,0,0
Mexico,1998,57.9,50.0,33.0,,73.4,80.9,,55.0,,54.1,74.8,70.0,30.0,0,0,0,1,0,0
Nicaragua,1998,53.8,30.0,10.0,,77.8,58.3,,55.0,,69.0,64.0,70.0,50.0,0,0,0,1,0,0
Panama,1998,72.6,50.0,50.0,,80.7,87.3,,70.0,,88.1,67.6,70.0,90.0,0,0,0,1,0,0
Paraguay,1998,65.2,30.0,10.0,,89.5,90.0,,70.0,,68.4,69.0,90.0,70.0,0,0,0,0,0,1
Peru,1998,65.0,50.0,30.0,,80.4,91.4,,55.0,,72.6,65.2,70.0,70.0,0,0,0,0,0,1
Suriname,1998,39.9,50.0,10.0,,60.6,48.6,,55.0,,29.9,25.0,50.0,30.0,0,0,0,0,0,1
Bahamas,1998,74.5,90.0,70.0,,97.2,87.4,,100.0,,86.9,19.4,50.0,70.0,0,0,0,1,0,0
Trinidad and Tobago,1998,72.0,90.0,50.0,,67.4,78.5,,70.0,,81.8,50.4,90.0,70.0,0,0,0,1,0,0
United States,1998,75.4,90.0,77.0,,64.3,60.3,,85.0,,84.3,78.4,70.0,70.0,0,0,0,1,0,0
Uruguay,1998,68.6,70.0,50.0,,88.6,69.3,,70.0,,58.5,71.0,70.0,70.0,0,0,0,0,0,1
Venezuela,1998,54.0,50.0,25.0,,75.4,67.9,,70.0,,31.1,67.0,50.0,50.0,0,0,0,0,0,1
Argentina,1997,73.3,70.0,52.0,,80.2,90.0,,85.0,,82.0,60.0,70.0,70.0,0,0,0,0,0,1
Barbados,1997,64.5,50.0,50.0,,60.7,73.0,,70.0,,87.5,49.0,70.0,70.0,0,0,0,1,0,0
Belize,1997,64.3,70.0,50.0,,63.3,88.2,,70.0,,84.6,33.0,70.0,50.0,0,0,0,1,0,0
Bolivia,1997,65.1,50.0,30.0,,89.1,76.1,,55.0,,80.5,65.4,70.0,70.0,0,0,0,0,0,1
Brazil,1997,52.6,50.0,27.0,,88.3,80.8,,70.0,,0.0,57.0,50.0,50.0,0,0,0,0,0,1
Canada,1997,67.9,90.0,89.0,,38.1,25.9,,85.0,,86.8,77.0,50.0,70.0,0,0,0,1,0,0
Chile,1997,75.9,90.0,79.0,,73.5,86.6,,85.0,,75.6,73.0,70.0,50.0,0,0,0,0,0,1
Colombia,1997,66.4,50.0,34.0,,77.3,99.3,,70.0,,65.4,61.0,70.0,70.0,0,0,0,0,0,1
Costa Rica,1997,65.6,50.0,50.0,,82.7,87.9,,70.0,,67.0,63.0,70.0,50.0,0,0,0,1,0,0
Cuba,1997,27.8,10.0,10.0,,47.6,0.0,,40.0,,62.9,60.0,10.0,10.0,0,0,0,1,0,0
Dominican Republic,1997,53.5,30.0,30.0,,85.7,89.6,,55.0,,74.2,17.0,50.0,50.0,0,0,0,1,0,0
Ecuador,1997,61.0,50.0,30.0,,78.2,91.0,,55.0,,57.7,67.0,70.0,50.0,0,0,0,0,0,1
El Salvador,1997,70.5,50.0,50.0,,83.6,92.0,,70.0,,74.1,75.0,70.0,70.0,0,0,0,1,0,0
Guatemala,1997,65.7,50.0,50.0,,81.5,97.5,,55.0,,70.7,67.0,50.0,70.0,0,0,0,1,0,0
Guyana,1997,53.2,50.0,30.0,,59.8,61.8,,55.0,,72.9,49.8,50.0,50.0,0,0,0,0,0,1
Haiti,1997,45.8,10.0,10.0,,78.7,98.7,,40.0,,50.0,65.0,30.0,30.0,0,0,0,1,0,0
Honduras,1997,56.0,50.0,30.0,,65.4,82.9,,55.0,,57.8,63.0,50.0,50.0,0,0,0,1,0,0
Jamaica,1997,67.7,70.0,50.0,,76.3,76.6,,70.0,,59.1,67.0,70.0,70.0,0,0,0,1,0,0
Mexico,1997,57.1,50.0,32.0,,73.2,82.7,,55.0,,57.8,63.0,70.0,30.0,0,0,0,1,0,0
Nicaragua,1997,53.3,30.0,10.0,,78.3,61.1,,55.0,,69.3,56.0,70.0,50.0,0,0,0,1,0,0
Panama,1997,72.4,50.0,50.0,,80.8,87.1,,70.0,,88.8,65.0,70.0,90.0,0,0,0,1,0,0
Paraguay,1997,67.3,50.0,10.0,,89.9,92.2,,70.0,,65.0,69.0,90.0,70.0,0,0,0,0,0,1
Peru,1997,63.8,50.0,30.0,,80.5,92.0,,55.0,,68.5,58.6,70.0,70.0,0,0,0,0,0,1
Suriname,1997,35.9,50.0,10.0,,41.7,61.1,,55.0,,0.0,25.0,50.0,30.0,0,0,0,0,0,1
Bahamas,1997,74.5,90.0,70.0,,97.3,87.8,,100.0,,86.1,19.0,50.0,70.0,0,0,0,1,0,0
Trinidad and Tobago,1997,71.3,90.0,50.0,,68.2,79.6,,70.0,,78.8,45.0,90.0,70.0,0,0,0,1,0,0
United States,1997,75.6,90.0,78.0,,64.5,60.0,,85.0,,84.5,78.4,70.0,70.0,0,0,0,1,0,0
Uruguay,1997,67.5,70.0,50.0,,88.3,67.1,,70.0,,53.1,69.0,70.0,70.0,0,0,0,0,0,1
Venezuela,1997,52.8,50.0,27.0,,75.0,47.1,,70.0,,41.7,65.0,50.0,50.0,0,0,0,0,0,1
Argentina,1996,74.7,70.0,70.0,,80.2,89.4,,85.0,,77.5,60.0,70.0,70.0,0,0,0,0,0,1
Barbados,1996,62.3,50.0,30.0,,60.8,71.5,,70.0,,89.0,49.0,70.0,70.0,0,0,0,1,0,0
Belize,1996,61.6,70.0,50.0,,63.3,68.7,,70.0,,85.4,27.0,70.0,50.0,0,0,0,1,0,0
Bolivia,1996,65.2,50.0,30.0,,89.2,75.3,,55.0,,81.6,65.4,70.0,70.0,0,0,0,0,0,1
Brazil,1996,48.1,50.0,30.0,,66.7,74.4,,55.0,,0.0,57.0,50.0,50.0,0,0,0,0,0,1
Canada,1996,70.3,90.0,90.0,,64.6,18.3,,85.0,,89.7,75.2,50.0,70.0,0,0,0,1,0,0
Chile,1996,72.6,90.0,50.0,,89.8,85.9,,85.0,,68.0,65.0,70.0,50.0,0,0,0,0,0,1
Colombia,1996,64.3,50.0,10.0,,80.4,99.2,,70.0,,64.1,65.0,70.0,70.0,0,0,0,0,0,1
Costa Rica,1996,66.4,50.0,50.0,,82.5,90.5,,70.0,,71.9,63.0,70.0,50.0,0,0,0,1,0,0
Cuba,1996,27.8,10.0,10.0,,47.6,0.0,,40.0,,62.9,60.0,10.0,10.0,0,0,0,1,0,0
Dominican Republic,1996,58.1,30.0,30.0,,85.4,89.3,,55.0,,78.0,55.0,50.0,50.0,0,0,0,1,0,0
Ecuador,1996,60.1,50.0,30.0,,79.0,92.5,,55.0,,53.0,61.0,70.0,50.0,0,0,0,0,0,1
El Salvador,1996,70.1,50.0,50.0,,83.7,92.0,,70.0,,72.5,73.0,70.0,70.0,0,0,0,1,0,0
Guatemala,1996,63.7,50.0,50.0,,84.1,96.6,,55.0,,69.0,69.0,50.0,50.0,0,0,0,1,0,0
Guyana,1996,50.1,50.0,30.0,,55.9,37.3,,55.0,,71.5,51.0,50.0,50.0,0,0,0,0,0,1
Haiti,1996,41.0,10.0,10.0,,78.6,97.7,,40.0,,47.5,65.0,10.0,10.0,0,0,0,1,0,0
Honduras,1996,56.6,50.0,30.0,,65.5,82.7,,55.0,,63.3,63.0,50.0,50.0,0,0,0,1,0,0
Jamaica,1996,66.7,70.0,50.0,,76.2,76.5,,70.0,,52.2,65.0,70.0,70.0,0,0,0,1,0,0
Mexico,1996,61.2,50.0,50.0,,73.1,93.1,,55.0,,66.6,63.0,70.0,30.0,0,0,0,1,0,0
Nicaragua,1996,54.1,30.0,10.0,,78.6,68.5,,55.0,,68.5,56.0,70.0,50.0,0,0,0,1,0,0
Panama,1996,71.8,50.0,50.0,,77.6,85.2,,70.0,,88.2,65.0,70.0,90.0,0,0,0,1,0,0
Paraguay,1996,67.1,50.0,10.0,,90.1,92.8,,70.0,,62.0,69.0,90.0,70.0,0,0,0,0,0,1
Peru,1996,62.5,50.0,30.0,,81.0,93.4,,55.0,,57.9,55.0,70.0,70.0,0,0,0,0,0,1
Suriname,1996,36.7,50.0,10.0,,49.5,45.8,,70.0,,0.0,25.0,50.0,30.0,0,0,0,0,0,1
Bahamas,1996,74.0,90.0,70.0,,97.8,83.6,,100.0,,85.8,19.0,50.0,70.0,0,0,0,1,0,0
Trinidad and Tobago,1996,69.2,90.0,50.0,,64.5,77.5,,70.0,,75.9,35.0,90.0,70.0,0,0,0,1,0,0
United States,1996,76.7,90.0,90.0,,64.7,57.8,,85.0,,84.5,78.4,70.0,70.0,0,0,0,1,0,0
Uruguay,1996,63.7,50.0,50.0,,83.0,66.9,,70.0,,50.6,63.0,70.0,70.0,0,0,0,0,0,1
Venezuela,1996,54.5,50.0,10.0,,75.2,76.1,,70.0,,44.1,65.0,50.0,50.0,0,0,0,0,0,1
Argentina,1995,68.0,70.0,50.0,,80.7,86.6,,85.0,,61.1,58.4,70.0,50.0,0,0,0,0,0,1
Belize,1995,62.9,70.0,50.0,,63.2,64.7,,70.0,,86.5,42.0,70.0,50.0,0,0,0,1,0,0
Bolivia,1995,56.8,50.0,10.0,,91.0,60.7,,55.0,,79.5,65.4,70.0,30.0,0,0,0,0,0,1
Brazil,1995,51.4,50.0,50.0,,76.7,74.4,,55.0,,0.0,56.4,50.0,50.0,0,0,0,0,0,1
Canada,1995,69.4,90.0,90.0,,64.2,14.8,,85.0,,85.9,75.2,50.0,70.0,0,0,0,1,0,0
Chile,1995,71.2,90.0,50.0,,79.4,87.0,,85.0,,66.2,63.0,70.0,50.0,0,0,0,0,0,1
Colombia,1995,64.5,50.0,10.0,,80.5,86.0,,85.0,,63.7,65.0,70.0,70.0,0,0,0,0,0,1
Costa Rica,1995,68.0,50.0,50.0,,82.6,90.8,,70.0,,70.9,78.0,70.0,50.0,0,0,0,1,0,0
Cuba,1995,27.8,10.0,10.0,,47.6,0.0,,40.0,,62.9,60.0,10.0,10.0,0,0,0,1,0,0
Dominican Republic,1995,55.8,30.0,30.0,,84.3,95.3,,55.0,,76.2,31.0,50.0,50.0,0,0,0,1,0,0
Ecuador,1995,57.7,50.0,10.0,,81.8,94.9,,55.0,,46.3,61.0,70.0,50.0,0,0,0,0,0,1
El Salvador,1995,69.1,50.0,50.0,,83.8,93.6,,70.0,,69.4,65.0,70.0,70.0,0,0,0,1,0,0
Guatemala,1995,62.0,50.0,50.0,,86.8,96.6,,55.0,,66.9,52.4,50.0,50.0,0,0,0,1,0,0
Guyana,1995,45.7,50.0,10.0,,55.8,30.3,,55.0,,64.0,66.0,50.0,30.0,0,0,0,0,0,1
Haiti,1995,43.0,10.0,10.0,,78.6,95.5,,40.0,,52.8,80.0,10.0,10.0,0,0,0,1,0,0
Honduras,1995,57.0,50.0,30.0,,65.5,83.4,,55.0,,67.8,61.0,50.0,50.0,0,0,0,1,0,0
Jamaica,1995,64.4,50.0,50.0,,77.5,76.5,,70.0,,50.9,65.0,70.0,70.0,0,0,0,1,0,0
Mexico,1995,63.1,70.0,50.0,,72.4,86.8,,55.0,,67.8,66.2,70.0,30.0,0,0,0,1,0,0
Nicaragua,1995,42.5,30.0,10.0,,78.3,75.1,,55.0,,0.0,54.4,50.0,30.0,0,0,0,1,0,0
Panama,1995,71.6,50.0,50.0,,77.5,84.0,,70.0,,88.7,64.4,70.0,90.0,0,0,0,1,0,0
Paraguay,1995,65.9,50.0,10.0,,90.1,91.5,,70.0,,63.1,58.4,90.0,70.0,0,0,0,0,0,1
Peru,1995,56.9,50.0,10.0,,81.1,89.5,,55.0,,35.9,51.0,70.0,70.0,0,0,0,0,0,1
Bahamas,1995,71.8,90.0,70.0,,97.7,86.9,,100.0,,82.6,19.0,30.0,70.0,0,0,0,1,0,0
United States,1995,76.7,90.0,90.0,,64.8,57.8,,85.0,,83.8,78.4,70.0,70.0,0,0,0,1,0,0
Uruguay,1995,62.5,50.0,50.0,,84.6,79.6,,70.0,,45.2,63.0,70.0,50.0,0,0,0,0,0,1
Venezuela,1995,59.8,50.0,10.0,,80.0,76.1,,85.0,,52.0,65.0,50.0,70.0,0,0,0,0,0,1
